,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
6059,1,2,59,1,1,0,1,4156981.78566667,3
5744,1,1,50,2,1,4,1,1735392.87380952,3
2281,1,1,39,1,1,1,1,1412831.33333333,3
4736,1,1,54,2,1,4,1,1950593.66666667,3
3066,1,1,37,4,1,1,1,852114.561636534,3
8291,4,1,40,1,4,1,1,637488.8,3
5554,1,1,20,5,1,1,1,796410,3
2993,1,1,45,1,1,4,1,4849446,3
511,1,1,59,1,1,9,1,1878631.73333333,3
851,1,1,19,1,1,0,1,2270015.54666667,3
9221,5,1,63,4,5,1,3,140833.333333333,1
164,1,1,53,1,1,0,3,3806225.66666667,3
2685,1,1,21,1,1,0,1,4455113.24367201,3
4791,1,1,40,1,1,0,2,1870481.33333333,3
2589,1,1,45,1,1,3,1,665278.160618678,3
9210,5,1,23,1,5,0,3,310000,3
807,1,1,25,1,1,0,1,1010074,3
5023,1,1,40,1,1,3,1,2059754.1,3
5253,1,1,22,1,1,0,3,507464,3
7563,3,1,61,4,3,4,1,3408049.66666667,3
1384,1,1,23,1,1,3,2,866666.666666667,3
3653,1,1,72,1,1,3,3,1642500,3
4903,1,1,64,4,1,4,3,1798983.33333333,3
4940,1,1,24,1,1,0,1,1638598,3
579,1,1,30,1,1,0,1,3759740.4,3
2206,1,1,55,1,1,0,1,588588.866666667,3
2071,1,1,25,6,1,3,1,1311888.06666667,3
1789,1,1,39,1,1,6,1,2076087,3
7497,3,1,24,5,3,2,3,84500,1
3712,1,1,56,1,1,4,3,7538714.73333333,3
2736,1,1,28,1,1,0,1,2505830.6,3
2840,1,1,45,9,1,6,1,4660855.33333333,3
850,1,1,39,1,1,1,2,412074,3
2649,1,1,52,4,1,6,1,2792901.66666667,3
5247,1,1,38,1,1,3,1,3899025,3
2866,1,1,63,1,1,3,3,705502,3
1403,1,1,70,2,1,4,3,325000,3
5994,1,2,55,1,1,4,1,3583482.93333333,3
6824,2,1,19,1,2,0,2,650000,3
2691,1,1,59,1,1,1,3,1495000,3
1744,1,1,24,1,1,1,1,1133531.53333333,3
3991,1,1,31,1,1,0,1,192725,2
2682,1,1,36,1,1,6,1,4004437.01666667,3
2998,1,1,27,1,1,0,1,1797016.17333333,3
5872,1,1,49,1,1,6,1,3671481.66666667,3
6002,1,2,50,1,1,2,1,626749.066666667,3
930,1,1,40,1,1,3,1,1928833.33333333,3
296,1,1,36,9,1,0,1,2293154.14231048,3
21,1,1,29,4,1,0,1,2348177,3
1793,1,1,51,1,1,6,3,1443520,3
2808,1,1,26,1,1,0,1,945503,3
4381,1,1,20,1,1,0,1,1230419.66666667,3
566,1,1,81,1,1,6,3,3683333.33333333,3
9095,5,1,26,6,5,0,3,568966.666666667,2
6754,2,1,38,1,2,0,1,397833.333333333,2
2547,1,1,34,6,1,3,1,1565804.93333333,3
8130,4,1,39,1,4,4,1,2245477,3
4224,1,1,27,1,1,0,1,829862.8,3
6146,1,2,36,1,1,4,3,1434712.5,3
160,1,1,39,1,1,0,1,4897460.65172,3
5209,1,1,22,3,1,0,1,1171517.26472663,3
2301,1,1,53,1,1,3,1,1213564.66666667,3
5029,1,1,69,1,1,4,3,1001000,3
167,1,1,25,1,1,3,1,1479950.33333333,3
6693,2,1,24,3,3,4,1,3086009.76666667,3
629,1,1,57,1,1,6,2,1017226.08,3
8175,4,1,30,1,4,0,1,1255067.66666667,3
6633,2,1,42,2,2,4,1,1863515.33333333,3
4762,1,1,32,1,1,6,1,1245198.66666667,3
5158,1,1,27,1,1,0,3,1280456.66666667,3
170,1,1,29,4,1,4,1,1414400,3
4998,1,1,37,1,1,6,1,2353390,3
1549,1,1,17,1,1,0,3,1131836.33333333,3
886,1,1,22,1,1,3,2,1182295.66666667,3
2113,1,1,43,1,1,0,3,1048750,3
4838,1,1,25,5,1,1,3,409095.648,3
6734,2,1,56,2,2,1,3,955492.473809524,3
5073,1,1,30,1,1,6,1,2779693.65761905,3
8182,4,1,52,1,4,4,1,3944481.66666667,3
45,1,1,23,4,1,0,1,935721.8,3
2186,1,1,79,1,1,1,3,504166.666666667,3
1548,1,1,20,1,1,1,1,1131836.33333333,3
7903,3,2,38,5,3,1,1,158388,1
3056,1,1,17,1,1,0,3,253100,1
1280,1,1,39,1,1,0,1,681070,3
6230,1,2,45,1,1,0,1,1555246.66666667,3
