,injectDate,street,city,delay,endNode,neighborhood_destination,neighborhood_initial
14755,04/19/2017 06:10:00 PM,Cambridge St,"Boston, MA",419,to Storrow Dr E / I-93 / US-1 / MA-3,,
29257,04/22/2017 05:30:00 PM,Huntington Ave,"Boston, MA",75,Gainsborough St,Fenway/Kenmore,
23003,04/21/2017 12:30:00 PM,Washington St,"Boston, MA",80,Gallivan Blvd,,
4551,04/24/2017 07:40:00 PM,American Legion Hwy,"Boston, MA",137,Walk Hill St,,
15203,04/19/2017 07:40:00 PM,Beacon St,"Boston, MA",124,Tremont St,,
8087,04/25/2017 01:10:00 PM,Forest Hills St,"Boston, MA",187,Glen Rd,,
29232,04/22/2017 05:30:00 PM,Washington St,"Boston, MA",130,Malcolm 'X' Blvd,Roxbury,
26946,04/22/2017 03:30:00 AM,Talbot Ave,"Boston, MA",205,Dorchester Ave,,
17536,04/20/2017 11:50:00 AM,Essex St,"Boston, MA",80,Atlantic Ave,,
1452,04/24/2017 06:50:00 AM,Enneking Pkwy,"Boston, MA",109,Washington St,,
27307,04/22/2017 04:20:00 AM,Amory St,"Boston, MA",61,Williams St,Roxbury,
1030,04/24/2017 03:30:00 AM,Boylston St,"Boston, MA",169,Berkeley St,,
14890,04/19/2017 06:40:00 PM,Park St,"Boston, MA",80,Adams St,Stony Brook / Cleary Square,
15850,04/19/2017 09:30:00 PM,Park St,"Boston, MA",93,Freeport St,Dorchester,
9857,04/25/2017 07:40:00 PM,Adams St,"Boston, MA",61,Parkman St,Dorchester,Stony Brook / Cleary Square
30013,04/22/2017 09:00:00 PM,Berkeley St,"Boston, MA",96,to Storrow Dr W,,
22458,04/21/2017 07:50:00 AM,Harvard Ave,"Boston, MA",62,Cambridge St,,Allston
1262,04/24/2017 04:50:00 AM,Hyde Park Ave,"Boston, MA",70,Northbourne Rd,Roslindale,
19587,04/20/2017 06:50:00 PM,Harrison Ave,"Boston, MA",80,Massachusetts Ave,,
6991,04/25/2017 03:50:00 AM,Adams St,"Boston, MA",89,Parkman St,Dorchester,Stony Brook / Cleary Square
32784,04/23/2017 02:40:00 PM,Blue Hill Ave,"Boston, MA",67,Geneva Ave,,
13117,04/19/2017 12:20:00 PM,American Legion Hwy,"Boston, MA",130,Walk Hill St,,
27358,04/22/2017 04:30:00 AM,Frontage Rd,"Boston, MA",117,Boston St,,
11921,04/19/2017 02:40:00 AM,Charlesgate,"Boston, MA",152,to Downtown Boston / US-1 N,,
5612,04/24/2017 11:00:00 PM,Lamartine St,"Boston, MA",80,New Minton St,Jamaica Plain,
25761,04/21/2017 11:00:00 PM,Beacon St,"Boston, MA",72,Tremont St,,
28023,04/22/2017 09:40:00 AM,Massachusetts Ave,"Boston, MA",221,Theodore Glynn Way,Dorchester,
8261,04/25/2017 01:50:00 PM,Blue Hill Ave,"Boston, MA",143,Morton St,,
30373,04/22/2017 11:10:00 PM,N Harvard St,"Boston, MA",100,Western Ave,,
8792,04/25/2017 03:40:00 PM,Cummins Hwy,"Boston, MA",197,Washington St,,
