id,int_date,live1,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,age_group,marital,par,Kidage_17,educ2,emplnw,inc,usr,state,estado,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
42,32616,3,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,57,Mediana_edad,5,1,0,8,1,9,S,47,Washington,0,0.5,0,0.3333333333,0.1515151515,0.375,1,0,0,0.01,0.97,0.01,0.01,0
43,31116,1,1,1,1,2,1,0.5,1,1,0,0,2,2,0,0,0,0,0,0,0,0.5,0,2,26,Adulto,6,2,0,8,1,6,U,37,Oregon,0,0.5,0,0,0.0404040404,0,0,0,0,0.04,0.5,0.02,0.44,0
44,32816,3,1,1,1,2,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.5,0,1,45,Mediana_edad,1,1,0,6,1,8,S,45,Vermont,0,0,0,0.3333333333,0.0606060606,0.5,1,0,0,0,0.99,0,0,0
45,32016,3,0,0,0,0,0,0,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,2,73,Ciudadano_de_oro,5,2,0,3,2,2,R,39,Rhode Island,0,0,0,0,0.7575757576,0.375,0,0,0.99,0,0,0,0,0
46,40416,4,1,0,1,2,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,81,Ciudadano_de_oro,1,2,0,8,3,8,S,51,Wyoming,0,0,0,0,0.0404040404,0.25,1,0,0,0,0,0,0,0.99
47,32816,2,1,0,1,2,0,1,1,1,0,0,2,3,1,0,0,0,0,0,0,1,0.5,2,73,Ciudadano_de_oro,5,2,0,4,3,3,S,6,Colorado,0,0,0,0.2222222222,0.101010101,0,0,0,0.02,0.05,0.07,0.05,0.08,0.73
48,32716,3,1,1,1,1,1,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0.5,2,17,Joven_adulto,6,2,0,2,4,4,U,36,Oklahoma,0.6666666667,1,0.6666666667,0.1111111111,0.0404040404,0,0,0,0.06,0.19,0.06,0.52,0.08,0.09
49,32316,3,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,1,60,Ciudadano_de_oro,1,2,0,6,1,9,U,32,New York,0,0,0,0,0.0202020202,0,0,0,0,0,0.98,0,0.01,0
50,32916,2,1,0,1,2,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0.5,0,2,83,Ciudadano_de_oro,1,2,0,8,3,7,S,23,Minnesota,0,0,0,0,0.0505050505,0.5,1,0,0,0,0,0,0,0.99
51,31716,3,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,2,76,Ciudadano_de_oro,5,2,0,4,3,1,R,37,Oregon,0,0,0,0,0.303030303,0.5,0,0,0.99,0,0,0,0,0
52,31216,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,30,Adulto,6,2,0,3,1,1,S,22,Michigan,0,0,0,0,0.5050505051,0.5,0,0,0.99,0,0,0,0,0
53,31216,4,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,2,57,Mediana_edad,1,1,0,8,1,6,R,30,New Jersey,0,0,0,0.6666666667,0.0303030303,0.5,1,0,0,0,0.98,0,0.01,0
54,33016,1,1,1,1,2,1,0,1,0,1,1,1,3,0,0,1,1,0,0,0,0.5,0,1,98,Ciudadano_de_oro,6,2,0,6,1,99,U,55,Wyoming,0.2222222222,0,0,0.1111111111,0.0606060606,0.375,0,0,0,0.83,0.02,0.01,0.12,0.01
55,31816,3,1,1,1,2,1,0,1,1,0,0,1,3,0,1,0,1,0,0,0,0.5,0,1,20,Joven_adulto,6,2,0,3,2,6,S,25,Missouri,0,0,0,0,0.0606060606,0.5,0,0,0,0.01,0.01,0,0.97,0
56,32016,2,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,53,Mediana_edad,6,2,0,8,1,6,U,29,New Hampshire,0,0,0,0,0.1515151515,0.5,0.75,0,0.01,0.13,0.36,0.08,0.26,0.16
57,31816,2,1,0,1,2,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,61,Ciudadano_de_oro,1,1,0,4,1,4,S,36,Oklahoma,0,0,0,0,0,0.125,0,0,0.03,0.02,0.01,0.01,0.02,0.91
58,40316,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,2,60,Ciudadano_de_oro,5,1,0,5,3,3,S,42,Tennessee,0,0,0,0,0.0101010101,0.25,1,0,0.99,0,0,0,0,0
59,31216,4,1,0,1,2,1,1,1,1,0,1,3,3,1,0,0,0,0,0,0,1,0.5,1,54,Mediana_edad,1,2,0,4,1,6,R,12,Idaho,0,0,0,0,0.0404040404,0,0,0,0.01,0.1,0.46,0.08,0.26,0.09
60,32916,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0.5,0,2,52,Mediana_edad,1,2,0,8,1,8,S,34,North Dakota,0.1111111111,0.3333333333,0.3333333333,0.1111111111,0.7575757576,0.375,0.25,0.75,0,0.02,0.9,0.05,0.03,0
61,31716,3,1,1,1,2,1,0,1,1,1,0,3,3,1,0,0,0,0,0,0,0,0,1,66,Ciudadano_de_oro,1,2,0,8,3,5,S,19,Maine,0,0,0,0,0.0101010101,0,0,0,0,0.01,0.01,0,0.97,0
62,32016,3,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,2,53,Mediana_edad,6,2,0,3,6,2,U,36,Oklahoma,0,0,0,0.1111111111,0,0,0,0,0.86,0.03,0.01,0.02,0.02,0.08
63,32916,3,1,1,1,2,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,2,40,Adulto,3,1,1,5,2,2,R,21,Massachusetts,0,0,0,0.3333333333,0.5050505051,0.25,0.25,0,0,0.1,0.49,0.07,0.25,0.08
64,32016,4,1,1,1,2,1,1,1,0,0,1,3,3,0,0,0,0,0,0,0,1,0,2,56,Mediana_edad,1,2,0,7,1,5,U,13,Illinois,0,0,0.3333333333,0.2222222222,0.1212121212,0,0,0,0,0.86,0.07,0.03,0.03,0
65,40316,3,1,1,1,2,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.5,0.5,1,31,Adulto,2,2,0,4,4,5,R,20,Maryland,0,0.1666666667,0,0.1111111111,0.0101010101,0,0,0,0,0,0.01,0,0.99,0
66,32616,1,1,1,1,2,0,1,1,1,0,0,1,3,1,1,1,0,0,1,0,0,0,2,74,Ciudadano_de_oro,5,2,0,8,3,6,U,48,West Virginia,0,0,0,0.5555555556,0.0505050505,0.5,0,0,0.01,0.12,0.43,0.1,0.23,0.1
67,32816,3,0,1,1,2,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,51,Mediana_edad,1,2,0,4,4,3,U,26,Montana,0.3333333333,0,0,0.1111111111,0.0404040404,0,1,0,0.05,0.12,0.13,0.29,0.1,0.3
68,32116,1,1,1,1,2,1,1,1,1,0,1,1,3,0,1,1,0,0,0,0,0,0,2,41,Adulto,6,1,0,3,2,3,S,34,North Dakota,0,0,0,0.1111111111,0.0404040404,0.5,0,0,0,0,0.99,0,0.01,0
69,31116,3,1,1,1,3,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,1,64,Ciudadano_de_oro,1,2,0,8,1,8,U,37,Oregon,0,0,0,0.2222222222,0.0202020202,0,0,0,0,0,0.01,0,0.99,0
70,31316,4,1,1,1,2,1,1,1,0,0,0,1,3,1,0,0,0,1,1,0,1,0.5,1,57,Mediana_edad,6,2,0,8,1,98,S,6,Colorado,0,0,0,0,0,0.5,0,0,0,0.88,0.07,0.01,0.03,0
