id,int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,par,Kidage_17,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
29,40115,2,1,0,1,1,8,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0.5,38,1,1,2,3,1,1,R,20,0,0,0,0.5,0,0,0,0,0.02,0.13,0.06,0.08,0.11,0.6
60,32915,2,1,1,2,1,2,1,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0.5,0.5,21,2,2,0,3,2,2,S,49,0,0,0,0,0,0,0,0,0,0.05,0.71,0.08,0.1,0.05
127,33115,1,1,1,2,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,66,1,2,0,3,3,7,R,8,0,0,0,0,0,0,0,0,0,0.05,0.71,0.08,0.1,0.05
101,40615,2,1,1,1,1,2,1,0.5,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0.5,62,1,2,0,8,3,4,S,47,0.6666666667,0.5555555556,0.6666666667,0.1666666667,0.206185567,0,0,0,0,0.02,0.05,0.07,0.79,0.06
176,31715,1,1,1,1,1,2,1,1,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,45,6,2,0,3,2,2,S,12,0,0.6666666667,0,0.1666666667,0,0,0,0,0,0.01,0.05,0.07,0.74,0.12
40,40415,2,1,1,1,1,2,1,1,0,1,0,0,1,3,0,1,0,0,0,1,1,0,0,28,1,1,2,3,1,5,S,34,0,0.5555555556,0.6666666667,0.1666666667,0.206185567,0.375,0,0,0.01,0.02,0.05,0.07,0.71,0.15
112,32115,1,1,1,1,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0.5,0,64,5,2,0,3,3,4,U,30,0,0,0.2222222222,0.3333333333,0,0.5,0,0,0.02,0.12,0.06,0.07,0.08,0.66
65,33115,2,1,0,1,1,2,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,57,2,2,0,4,1,99,S,45,0,0,0,1,0,0,0,0,0.02,0.62,0.07,0.07,0.07,0.16
167,40415,2,1,1,2,0,0,1,0.5,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,58,5,2,0,6,3,4,U,24,0,0,0,0,0.412371134,0.375,0.8,0.5,0.01,0.11,0.67,0.07,0.07,0.07
119,32415,2,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,47,1,1,1,8,1,8,S,39,0.5555555556,0,0.5555555556,0.1666666667,0.412371134,0.25,0.2,0.375,0,0,0.01,0.06,0.92,0
186,31715,2,1,1,1,1,2,1,1,1,1,0,1,1,3,1,1,0,0,0,0,0,0.5,0,42,1,1,2,6,1,7,R,37,0.5555555556,0.6666666667,0.3333333333,0.3333333333,0.1030927835,0.375,0,0,0,0.02,0.04,0.06,0.83,0.05
83,32015,2,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,33,2,2,0,8,1,7,U,24,0.6666666667,0.6666666667,0.2222222222,0.1666666667,0.0618556701,0,0,0,0,0.02,0.05,0.06,0.8,0.06
185,40115,2,1,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.5,0,23,6,1,1,2,4,2,R,13,0.6666666667,0.1111111111,0.1111111111,0.1666666667,0,0.5,0.6,0.5,0,0.02,0.04,0.06,0.75,0.13
86,40315,2,1,1,1,1,2,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,23,6,2,0,2,1,2,S,48,0.2222222222,0.3333333333,0.6666666667,0.1666666667,0.0206185567,0,0,0,0.01,0.02,0.04,0.06,0.75,0.12
95,31915,1,0,1,1,0,0,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,1,45,1,2,0,3,1,2,S,12,0,0,0,0.5,0,0,0,0,0.02,0.03,0.06,0.06,0.17,0.67
71,32215,2,1,1,2,1,2,1,0.5,1,0,0,1,2,3,1,0,0,0,0,0,0,0.5,0,56,2,2,0,4,1,5,U,51,0.3333333333,0,0.5555555556,0,0.0412371134,0,0,0,0,0.02,0.82,0.06,0.09,0.01
133,32915,2,1,0,2,1,2,1,0.5,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,57,1,1,1,6,1,99,U,8,0,0,0.6666666667,0,0.2577319588,0.25,0.4,0.625,0.01,0.38,0.46,0.06,0.06,0.03
33,40515,2,1,1,2,1,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,20,6,2,0,3,2,6,S,4,0,0,0,0,0,0,0,0,0,0.02,0.9,0.06,0.01,0
34,32315,1,1,1,2,1,2,1,0,1,0,0,0,1,3,1,1,1,1,0,0,0,0,0,54,1,2,0,3,1,8,S,48,0,0,0,0,0,0.5,0,0,0,0.02,0.9,0.06,0.01,0
