int_date,live1,reg,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,Twitter,Instagram,Pinterest,Facebook,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_LinkedIn,Freq_Facebook,amount_books_read,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,marital,par,kidage1,educ2,emplnw,inc,usr,state,weight,standwt
32416,2,1,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6,2,2,2,2,3,0,0,0,8,0,0,0,0,0,2,2,1,2,88,5,2,0,3,3,5,S,39,6.9375,2.2878778048
32016,2,1,1,1,1,2,1,2,1,1,2,2,1,6,0,0,0,3,10,1,2,2,1,3,4,0,0,8,2,2,2,2,2,2,2,2,1,66,4,2,0,4,3,7,S,40,1.59375,0.5255935497
31216,4,1,1,1,1,2,1,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,2,2,2,1,51,1,2,0,3,1,7,S,12,2.5,0.8244604702
31216,2,1,1,1,1,2,1,3,1,2,2,2,2,0,0,0,0,0,0,0,0,0,1,2,4,0,0,8,2,2,2,2,2,2,1,1,2,62,3,2,0,4,3,3,S,36,3.5625,1.17485617
31316,4,1,1,1,1,1,2,2,1,2,2,2,1,0,0,0,0,3,12,1,2,2,1,3,3,0,0,1,1,2,2,2,2,2,1,1,2,86,5,2,0,6,3,99,U,6,1,0.3297841881
31216,4,8,1,1,1,2,1,2,1,2,1,2,1,0,2,0,0,2,12,1,1,1,3,3,0,0,0,1,0,0,0,0,0,0,2,1,2,71,3,2,0,4,3,3,R,41,1.21875,0.4019244792
31216,1,1,1,1,1,2,1,2,1,1,2,2,1,1,0,0,0,1,15,1,2,1,1,3,4,0,0,2,1,2,1,2,2,1,2,1,1,44,4,1,0,6,2,6,U,6,1.625,0.5358993056
31216,3,1,1,2,1,2,2,3,1,2,2,1,1,0,0,5,0,2,2,1,2,1,1,3,4,0,0,1,1,2,2,2,2,2,2,1,1,73,1,2,0,8,3,6,R,32,1,0.3297841881
31216,2,1,1,2,1,2,0,1,1,2,2,2,1,0,0,0,0,2,97,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,62,3,2,0,8,3,99,U,6,6.4375,2.1229857107
31216,2,1,1,1,1,2,2,3,1,2,2,1,1,0,0,5,6,3,12,1,2,2,3,1,0,3,0,1,0,0,0,0,0,0,1,1,2,54,1,2,0,5,1,8,S,9,3.21875,1.0614928554
31216,3,3,1,1,1,2,0,3,1,1,2,2,1,1,0,0,0,2,2,1,2,2,2,3,0,0,0,8,0,0,0,0,0,2,3,1,2,25,2,1,1,5,6,1,R,50,6.9375,2.2878778048
31216,2,1,1,1,1,2,1,2,1,9,2,2,1,0,0,0,2,1,4,1,2,1,3,2,0,0,0,1,0,0,0,0,0,0,2,1,1,49,3,2,0,6,2,2,S,53,1.28125,0.422535991
31216,2,1,1,2,1,8,1,3,1,2,2,2,2,0,0,0,0,0,97,1,2,2,3,3,0,0,0,1,0,0,0,0,0,0,2,1,2,72,1,2,0,8,3,6,S,26,1,0.3297841881
31716,3,1,1,1,1,2,1,3,1,2,2,2,2,0,0,0,0,0,1,1,1,2,3,3,0,0,0,1,0,0,0,0,0,0,1,1,1,66,1,2,0,8,3,5,S,19,1,0.3297841881
32616,4,2,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,2,3,2,2,85,5,2,0,3,3,6,S,18,6.9375,2.2878778048
31216,2,1,1,2,1,2,1,3,1,2,2,2,2,0,0,0,0,0,3,1,2,2,1,3,4,0,0,1,2,1,2,2,2,2,3,1,2,70,1,2,0,8,3,6,S,37,1.15625,0.3813129675
31216,3,3,2,2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,2,1,2,66,5,2,0,3,3,99,S,54,2.1875,0.7214029114
31316,1,1,1,1,1,2,1,2,1,1,1,1,1,5,1,1,0,1,15,1,2,2,2,2,0,0,0,2,0,0,0,0,0,2,3,2,2,23,6,2,0,6,1,9,U,36,1.9375,0.6389568644
31316,3,1,1,2,1,1,2,2,2,2,2,2,2,0,0,0,0,0,3,1,2,2,1,1,2,4,0,1,1,1,2,1,1,1,1,1,2,52,3,2,0,6,2,3,S,50,1.53125,0.504982038
31316,9,9,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,8,2,87,5,2,0,4,3,99,S,18,5.21875,1.7210612315
31616,3,1,1,2,1,1,8,2,1,1,2,2,1,6,0,0,0,6,5,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,19,6,2,0,3,4,6,R,37,2.53125,0.8347662261
31316,3,1,1,1,1,2,1,3,1,2,2,2,2,0,0,0,5,0,5,1,2,1,1,3,4,0,0,8,2,2,2,2,2,2,3,1,1,56,1,2,0,3,1,9,S,36,2.90625,0.9584352966
31316,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,5,2,8,1,2,2,2,2,0,0,0,1,0,0,0,0,0,2,1,1,2,58,1,1,0,7,6,7,S,17,1.46875,0.4843705262
31316,1,1,1,1,1,2,1,2,1,2,2,2,2,0,0,0,3,0,2,1,2,2,2,3,0,0,0,8,0,0,0,0,0,1,2,2,1,63,1,2,0,8,4,9,U,36,1.125,0.3710072116
31316,4,1,1,2,1,2,1,3,1,2,2,1,1,0,0,6,0,5,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,2,1,2,49,1,1,0,6,4,2,S,5,1.96875,0.6492626203
32816,3,1,1,1,1,2,1,2,1,2,2,1,2,0,0,9,0,0,25,1,2,1,2,3,0,0,0,2,0,0,0,0,0,2,3,1,1,72,1,2,0,8,2,9,S,34,1.21875,0.4019244792
31316,4,1,1,1,1,2,1,1,1,2,2,1,1,0,0,2,0,2,40,1,2,1,1,1,4,4,0,1,1,2,1,1,1,2,1,1,2,72,1,2,0,3,3,99,S,10,2.96875,0.9790468083
31716,3,1,1,1,1,2,1,2,1,2,2,1,2,0,0,5,5,0,3,1,2,2,2,3,0,0,0,8,0,0,0,0,0,2,3,1,1,68,6,2,0,6,3,99,S,12,1,0.3297841881
31316,4,3,1,2,2,0,0,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,2,1,1,1,60,1,2,0,6,1,6,U,5,5.28125,1.7416727433
31316,2,1,1,1,1,2,1,2,1,1,2,2,1,2,0,0,0,3,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,3,2,1,42,1,1,1,6,1,8,S,17,2.40625,0.7935432026
31716,3,3,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,8,9,2,80,5,2,0,3,3,2,S,12,3.4375,1.1336331465
31316,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,3,1,5,1,2,1,3,1,0,3,3,1,0,0,0,0,0,0,1,1,2,46,1,1,1,6,4,7,U,36,1.71875,0.5668165733
31316,4,1,1,1,1,2,1,3,1,2,2,2,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,2,2,33,1,1,0,3,1,6,S,26,6.375,2.102374199
31316,3,3,1,1,1,2,1,3,2,2,2,2,2,0,0,0,0,0,3,2,2,1,3,3,0,0,0,2,0,0,0,0,0,0,1,1,1,45,1,1,0,4,1,6,S,8,2.46875,0.8141547143
31316,4,1,1,1,1,4,1,3,1,2,2,2,1,0,0,0,0,5,7,1,2,2,2,3,0,0,0,1,0,0,0,0,0,2,2,1,2,75,6,2,0,5,3,6,S,6,1.21875,0.4019244792
31316,4,1,1,1,1,2,1,3,1,2,2,2,2,0,0,0,0,0,4,1,1,1,2,1,0,4,0,1,0,0,0,0,0,2,2,2,1,59,6,2,0,8,1,7,R,53,1,0.3297841881
31316,4,1,1,1,1,2,1,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,2,2,2,1,1,2,3,2,1,57,6,2,0,8,1,98,S,6,1,0.3297841881
31316,1,1,1,1,1,2,1,2,1,2,2,1,1,0,0,6,3,3,52,1,2,2,3,3,0,0,0,1,0,0,0,0,0,0,1,1,2,99,3,2,0,7,4,8,U,6,1,0.3297841881
32816,2,1,1,2,1,2,2,2,1,2,2,2,1,0,0,0,0,2,10,1,2,2,2,3,0,0,0,1,0,0,0,0,0,2,3,2,2,73,5,2,0,4,3,3,S,6,1.8125,0.5977338409
31516,3,1,2,2,0,0,8,3,2,0,0,0,0,0,0,0,0,0,2,1,2,2,3,2,0,0,0,1,0,0,0,0,0,0,3,1,2,91,1,2,0,3,3,9,U,51,3.21875,1.0614928554
32016,4,1,1,1,1,2,1,3,1,2,2,1,1,0,0,5,0,1,6,1,2,2,1,1,1,2,0,1,1,1,2,1,1,1,1,1,2,61,1,1,0,8,3,7,S,47,1.65625,0.5462050615
31516,3,1,1,1,1,2,1,2,1,2,1,2,1,0,3,0,0,1,24,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,36,1,1,1,4,4,6,U,27,5.875,1.9374821049
32816,4,1,1,1,1,2,1,2,1,1,1,1,2,2,3,3,3,0,50,1,1,1,1,1,1,3,4,1,1,1,1,2,2,1,1,1,1,57,1,1,0,8,1,9,S,22,1,0.3297841881
32616,3,1,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,3,2,1,58,1,2,0,5,4,6,U,55,4.03125,1.3294425082
31516,3,3,1,2,1,2,2,1,1,1,2,1,1,6,0,2,0,1,25,1,2,2,2,3,0,0,0,1,0,0,0,0,0,2,3,2,2,65,5,2,0,3,3,3,U,18,1.8125,0.5977338409
31516,2,1,1,1,1,2,1,2,1,1,2,2,2,3,0,0,1,0,3,1,2,2,2,3,0,0,0,2,0,0,0,0,0,2,2,2,1,47,1,1,0,8,1,9,S,39,1.53125,0.504982038
31516,1,1,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,24,1,2,2,3,3,0,0,0,2,0,0,0,0,0,0,3,1,2,87,5,2,0,6,4,7,U,26,2.65625,0.8759892496
31516,2,1,1,1,1,2,2,2,1,2,2,2,1,0,0,0,0,1,3,1,2,1,1,1,4,4,0,8,2,2,2,2,2,2,2,8,1,73,1,2,0,4,3,6,S,39,2,0.6595683761
40216,4,1,1,1,1,2,1,2,1,2,1,1,1,0,6,3,5,1,40,1,1,1,2,3,0,0,0,1,0,0,0,0,0,2,2,1,2,58,1,2,0,8,3,7,S,39,1.40625,0.4637590145
31516,4,2,1,1,1,2,1,2,1,2,2,2,2,0,0,0,0,0,24,1,1,1,1,1,2,4,0,8,1,2,1,2,2,1,1,1,2,57,1,2,0,3,1,6,R,36,3.8125,1.257302217
31616,4,1,1,1,1,2,1,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,3,1,1,56,1,1,0,6,1,99,S,36,1.0625,0.3503956998
31616,4,1,1,2,1,2,2,3,1,2,2,2,1,0,0,0,0,3,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,2,2,1,2,55,3,2,0,5,2,2,R,51,2.6875,0.8862950054
31616,1,1,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,10,1,2,2,3,3,0,0,0,8,0,0,0,0,0,0,3,3,2,70,5,2,0,3,4,99,U,11,6.9375,2.2878778048
32616,3,1,1,1,1,2,1,2,1,2,2,2,1,0,0,0,6,5,3,1,2,1,2,2,0,0,0,1,0,0,0,0,0,2,3,1,1,76,1,2,0,8,2,9,S,45,1.28125,0.422535991
