psraid,sample,int_date,lang,form,sex,q1,live1,reg,oftvote,q2a,q2b,eminuse,intmob,snsint,home3nw,bbhome1,device1a,smart1,device1b,device1c,device1d,device1e,device1f,device1g,act112,act124,act125,act135,act126,act136,act123,act122,act137,act127,act128,sns2a,sns2b,sns2c,sns2d,sns2e,sns2f,sns2g,books1,books2a,books2b,books2c,libusea,libuseb,lib_frq,libst_frq,libapp_frq,libmob,ebk_awr,ebk_brw,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,q11i,q11j,q12,q13a,q13b,q13c,q13d,q13e,q13f,q13g,q13h,q14,q15,q16a,q16b,q16c,q16d,q16e,q16f,q16g,q16h,q17a,q17b,q18a,q18b,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q19h,q19i,q19j,q20a,q20b,q20c,q20d,q20e,q20f,q21,q22,q23,q24a,q24b,q24c,q24d,q24e,q24f,age,marital,hh1,par,kidage1,kidage2,kidage3,educ2,emplnw,stud,edinst,disa,party,partyln,ideo,hisp,birth_hisp,race,inc,ql1a,qc1,zipcode,usr,cregion,state,density,weight,standwt
100149,1,31715,1,1,2,2,4,1,2,2,1,2,2,2, , ,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , , ,97,1,2,2,1,1,3,4,4,1,1,2,1,1,2,2,2,2, , , , ,1,2,2,2,2, , , , ,2,4,1,2,2,2, , , , ,1,2,1,1,1,2,1,1,2, , , , , ,2,1,1, , , , , ,2,2,2,2, , , ,48,6,1,2, , , ,3,1,3, ,2,4,9,3,2, ,1,4, , ,72776,S,3,5,1,1.91428571428571,.686795824943485
100158,1,32315,1,1,1,4,3,1,1,2,2,1,2,2,1,2,1,2,2,2,1, , , ,2,2,2,2,2, , , , , , , , , , , , , ,7,2,1,2,3,3, , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,3,2,1,1,1,2,2, , , , , ,4,4,4, , , ,1,4,2, , , , , , ,68,1,2,2, , , ,3,3,3, ,2,3,8,3,2, ,1,99, , ,47302,U,2,18,2,1.65714285714286,.594539669354061
100161,1,31815,1,1,1,1,2,2, ,2,2,1,1,1,1,2,1,1,2,2,1, , , ,1,1,2,1,1, , , , , , ,5,3, , ,2, , ,13,2,2,2,1,1,4,4,4,1,2, ,1,2,2,2,2,2, , , , ,2, , , , , , , , ,2, ,1,1,2,2, , , , ,2,2,3,2,1,1,1,1,1, , , , , ,4,4,3, , , ,2,2,2,2,2,2, , , ,17,6,4,2, , , ,2,4,1,1,2,3,8,4,2, ,3,98, , ,12303,S,1,36,3,2.88571428571429,1.03531907939242
100164,1,31715,1,2,1,1,1,2, ,2,2,1,1,2,1,2,1,2, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,0, , , ,3,3, , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,3, , , , , ,1,1,1,1,1, , , ,4,4,4,4,4,2, , , , , , ,58,1,2,2, , , ,3,4,3, ,1,1, ,4,2, ,1,1, , ,93308,S,4,6,1,1.97142857142857,.707297192852245
100168,1,31715,1,1,1,1,4,1,1,2,1,2,2,2, , ,2, ,1,2,2, , , , , , , , , , , , , , , , , , , , , ,45,1,2,1,2,3, , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,2,2,1,1,1,1,1,1, , , , , ,2,2,3, , , , , ,2,2,2,2, , , ,78,1,2,2, , , ,3,3,3, ,2,3,1,2,2, ,1,3,2, ,63935,R,2,29,1,5.57142857142857,1.99888337110417
100169,1,31715,1,1,2,1,3,1,2,2,1,1,1,2,1,2,1,1,2,1,1, , , ,2,2,1,2,2, , , , , , , , ,6, , , , ,3,1,2,2,1,3,4, , , ,8, ,1,2,2,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,8,3,1,2,2,1,1,3, , , , , ,8,1,1, , , ,1,1,2,2,2,2, , , ,57,3,1,2, , , ,6,1,3, ,2,4,9,2,2, ,4,7, , ,97223,S,4,41,3,1.22857142857143,.440779410038356
100171,1,31715,1,1,1,3,1,2, ,1,1,1,1,1,1,2,1,1,2,2,1, , , ,1,2,2,1,1, , , , , , ,3, , , ,2, , ,6,1,2,1,1,1,2,2,4,1,1,1,1,2,1,2,2,2, , , , ,1,1,1,2,2, , , , ,2,3,2,2,1,1, , , , ,2,2,2,2,2,2,1,1,3, , , , , ,2,2,2, , , ,1,3,2,2,2,2, , , ,18,6,3,2, , , ,2,4,1,1,2,3,1,4,2, ,2,99, , ,78240,U,3,48,4,1.97142857142857,.707297192852245
100175,1,32315,1,2,2,2,4,1,1,2,2,2,2,2, , ,1,2, , , ,1,2,1, , , , , , , , , , , , , , , , , , ,0, , , ,1,3,4, , , ,1,2,2,2,2, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , , , , , ,1,2,3,1, , , , , ,1,1,1,1,1, , , ,3,2,3, , ,2, , , ,2,2,2,63,6,1,2, , , ,3,3,3, ,2,2, ,3,2, ,2,1, , ,29745,S,3,45,2,1.4,.502283513764638
100176,1,31715,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1, , , ,2,2,2, , , , , ,1,2,1,1,1,8, , , ,3, , ,2,2,1,2,1,2,3, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,2,3,3, , , , , ,1,1,1,1,1, , , ,1,2,2,2,3,2, , , ,2,2,2,61,6,1,2, , , ,6,3,3, ,1,2, ,1,2, ,2,6, , ,27704,U,3,37,4,1.08571428571429,.389525990266454
100183,1,31715,1,1,1,1,1,1,2,2,1,1,1,9,1,2,1,1,2,2,1, , , ,2,2,2,2,2, , , , , , , , , , , , , ,7,1,2,2,3,3, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,2,8,8,2,1,1,4, , , , , ,8,8,8, , , ,8,8,2, , , , , , ,69,1,2,2, , , ,8,1,3, ,2,3,1,2,2, ,1,99, , ,77063,U,3,48,5,1.85714285714286,.666294457034724
